order_book_id,symbol,abbrev_symbol,round_lot,sector_code,sector_code_name,industry_code,industry_name,listed_date,issue_price,de_listed_date,type,exchange,board_type,status,special_type,trading_hours,market_tplus
603255.XSHG,鼎际得,DJD,100,Materials,原材料,C26,化学原料和化学制品制造业,2022-08-18,21.88,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603256.XSHG,宏和科技,HHKJ,100,Materials,原材料,C30,非金属矿物制品业,2019-07-19,4.43,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603258.XSHG,电魂网络,DHWL,100,InformationTechnology,信息技术,I64,互联网和相关服务,2016-10-26,15.62,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603259.XSHG,药明康德,YMKD,100,HealthCare,医疗保健,M73,研究和试验发展,2018-05-08,21.6,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603260.XSHG,合盛硅业,HSGY,100,Materials,原材料,C26,化学原料和化学制品制造业,2017-10-30,19.52,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603261.XSHG,立航科技,LHKJ,100,Industrials,工业,C37,铁路、船舶、航空航天和其他运输设备制造业,2022-03-15,19.7,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603266.XSHG,天龙股份,TLGF,100,Materials,原材料,C29,橡胶和塑料制品业,2017-01-10,14.63,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603267.XSHG,鸿远电子,HYDZ,100,InformationTechnology,信息技术,C39,计算机、通信和其他电子设备制造业,2019-05-15,20.24,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603268.XSHG,松发股份,SFGF,100,ConsumerDiscretionary,非必须消费品,C30,非金属矿物制品业,2015-03-19,11.66,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603269.XSHG,海鸥股份,HOGF,100,Industrials,工业,C34,通用设备制造业,2017-05-17,8.76,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
